,SMILES
0,CC(C)(C)c1c(B(c2c(C(C)(C)C)c([N+](=O)[O-])c(C(C)(C)C)c([N+](=O)[O-])c2C(C)(C)C)c2c(C(C)(C)C)c([N+](=O)[O-])c(C(C)(C)C)c([N+](=O)[O-])c2C(C)(C)C)c(C(C)(C)C)c([N+](=O)[O-])c(C(C)(C)C)c1[N+](=O)[O-]
1,Cc1c(Br)c(C)c(Br)c(B(c2c(Br)c(C)c(Br)c(C)c2Br)c2c(Br)c(C)c(Br)c(C)c2Br)c1Br
2,COc1c(C(C)(C)C)c(OC)c(C(C)(C)C)c(B(c2c(C(C)(C)C)c(OC)c(C(C)(C)C)c(OC)c2C(C)(C)C)c2c(C(C)(C)C)c(OC)c(C(C)(C)C)c(OC)c2C(C)(C)C)c1C(C)(C)C
3,Brc1cc(B(c2cc(Br)c(Br)c(Br)c2)c2cc(Br)c(Br)c(Br)c2)cc(Br)c1Br
4,Oc1c(C(F)(F)F)c(O)c(C(F)(F)F)c(B(c2c(C(F)(F)F)c(O)c(C(F)(F)F)c(O)c2C(F)(F)F)c2c(C(F)(F)F)c(O)c(C(F)(F)F)c(O)c2C(F)(F)F)c1C(F)(F)F
5,N#Cc1c(Cl)c(C#N)c(B(c2c(C#N)c(Cl)c(C#N)c(Cl)c2C#N)c2c(C#N)c(Cl)c(C#N)c(Cl)c2C#N)c(C#N)c1Cl
6,CN(C)c1c(N)c(N(C)C)c(B(c2c(N(C)C)c(N)c(N(C)C)c(N)c2N(C)C)c2c(N(C)C)c(N)c(N(C)C)c(N)c2N(C)C)c(N(C)C)c1N
7,N#Cc1c([N+](=O)[O-])c(C#N)c([N+](=O)[O-])c(B(c2c([N+](=O)[O-])c(C#N)c([N+](=O)[O-])c(C#N)c2[N+](=O)[O-])c2c([N+](=O)[O-])c(C#N)c([N+](=O)[O-])c(C#N)c2[N+](=O)[O-])c1[N+](=O)[O-]
8,O=[N+]([O-])c1c(B(c2c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c2[N+](=O)[O-])c2c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c2[N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-]
9,COc1c(C#N)c(OC)c(C#N)c(B(c2c(C#N)c(OC)c(C#N)c(OC)c2C#N)c2c(C#N)c(OC)c(C#N)c(OC)c2C#N)c1C#N
10,CN(C)c1c(O)c(F)c(O)c(N(C)C)c1B(c1c(N(C)C)c(O)c(F)c(O)c1N(C)C)c1c(N(C)C)c(O)c(F)c(O)c1N(C)C
11,O=[N+]([O-])c1c(O)c([N+](=O)[O-])c(B(c2c([N+](=O)[O-])c(O)c([N+](=O)[O-])c(O)c2[N+](=O)[O-])c2c([N+](=O)[O-])c(O)c([N+](=O)[O-])c(O)c2[N+](=O)[O-])c([N+](=O)[O-])c1O
12,CC(C)(C)c1c(B(c2c(C(C)(C)C)c(C(C)(C)C)c(C(C)(C)C)c(C(C)(C)C)c2C(C)(C)C)c2c(C(C)(C)C)c(C(C)(C)C)c(C(C)(C)C)c(C(C)(C)C)c2C(C)(C)C)c(C(C)(C)C)c(C(C)(C)C)c(C(C)(C)C)c1C(C)(C)C
